{'source_ip': '172.27.32.1', 'dest_ip': '172.27.47.255', 'source_port': 57621, 'dest_port': 57621, 'timestamp': '2023-06-05 13:37:18.015548', 'total_length': 86, 'data': '53:70:6f:74:55:64:70:30:6d:16:e0:82:8d:8b:57:21:00:01:00:04:48:95:c2:03:40:ac:90:d8:05:7e:00:32:d0:b3:74:1f:7b:9a:28:58:80:bc:da:9a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:23.608119', 'total_length': 98, 'data': '00:61:00:01:e3:ba:7d:64:00:00:00:00:de:46:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:23.619861', 'total_length': 98, 'data': '00:61:00:01:e3:ba:7d:64:00:00:00:00:de:46:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:24.610679', 'total_length': 98, 'data': '00:61:00:02:e4:ba:7d:64:00:00:00:00:97:4f:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:24.633609', 'total_length': 98, 'data': '00:61:00:02:e4:ba:7d:64:00:00:00:00:97:4f:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:25.612564', 'total_length': 98, 'data': '00:61:00:03:e5:ba:7d:64:00:00:00:00:00:57:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:25.625453', 'total_length': 98, 'data': '00:61:00:03:e5:ba:7d:64:00:00:00:00:00:57:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:26.614272', 'total_length': 98, 'data': '00:61:00:04:e6:ba:7d:64:00:00:00:00:9f:5d:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:26.622418', 'total_length': 98, 'data': '00:61:00:04:e6:ba:7d:64:00:00:00:00:9f:5d:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 54363, 'dest_port': 1900, 'timestamp': '2023-06-05 13:37:27.041791', 'total_length': 217, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:55:53:45:52:2d:41:47:45:4e:54:3a:20:47:6f:6f:67:6c:65:20:43:68:72:6f:6d:65:2f:31:31:33:2e:30:2e:35:36:37:32:2e:31:32:39:20:57:69:6e:64:6f:77:73:0d:0a:0d:0a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:27.616075', 'total_length': 98, 'data': '00:61:00:05:e7:ba:7d:64:00:00:00:00:f6:64:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:27.632479', 'total_length': 98, 'data': '00:61:00:05:e7:ba:7d:64:00:00:00:00:f6:64:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 54363, 'dest_port': 1900, 'timestamp': '2023-06-05 13:37:28.045077', 'total_length': 217, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:55:53:45:52:2d:41:47:45:4e:54:3a:20:47:6f:6f:67:6c:65:20:43:68:72:6f:6d:65:2f:31:31:33:2e:30:2e:35:36:37:32:2e:31:32:39:20:57:69:6e:64:6f:77:73:0d:0a:0d:0a'}
